Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
34.5,35.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.5
33.0,35.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
34.0,36.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
33.0,35.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
34.0,36.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
33.0,35.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
33.0,35.0,32.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
33.0,35.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
35.0,38.0,35.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
37.0,37.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0
34.0,35.0,34.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
34.0,35.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
35.0,35.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
33.0,35.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
33.0,35.0,32.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5
32.0,34.0,32.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
33.0,35.0,31.5,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,-1.0
32.0,34.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
31.0,33.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
31.0,33.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
32.0,33.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31.0,33.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
31.0,33.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
30.0,31.0,25.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
31.0,31.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
29.0,30.5,29.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
29.0,31.0,29.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
29.0,31.0,29.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
30.0,31.0,29.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
